A,Fission Yield,noise,Z,N,E
66.2968296829683,-6.461717992048886e-05,0.003669872667969863,91,140,6.049
66.3074307430743,-0.00031998835132157003,0.0039272358173512035,91,140,6.049
66.31803180318032,-0.00013310966690106837,0.003992960583167923,91,140,6.049
66.32863286328633,-0.00032788741971777287,0.0038374084698853243,91,140,6.049
66.33923392339234,6.564199038351805e-05,0.0038803736773038297,91,140,6.049
66.34983498349835,-1.5637378674547664e-05,0.0038952205549689298,91,140,6.049
66.36043604360437,-7.382659598311766e-05,0.0037585400903839034,91,140,6.049
66.37103710371036,-2.462534541651784e-05,0.003942490174590288,91,140,6.049
66.38163816381638,0.00012639809708438505,0.004028195499042619,91,140,6.049
66.39223922392239,-0.00022820268427141153,0.0036927852277272247,91,140,6.049
66.4028402840284,-0.0002764999139978965,0.0038853479938042086,91,140,6.049
66.41344134413441,-0.00033646545309297203,0.0035485465674956235,91,140,6.049
66.42404240424042,-3.8424156980462846e-05,0.0038143528099812535,91,140,6.049
66.43464346434644,0.00020927924495854475,0.003932138514840772,91,140,6.049
66.44524452445245,-0.00014634862512137155,0.00341800103831176,91,140,6.049
66.45584558455846,-0.00022164096554121713,0.003803269693240215,91,140,6.049
66.46644664466447,-0.0002030619764958953,0.003707959078967267,91,140,6.049
66.47704770477047,-5.556319832624866e-05,0.003887719929490784,91,140,6.049
66.48764876487648,7.64065407722446e-06,0.003740014269739477,91,140,6.049
66.4982498249825,-6.078480855586206e-05,0.0038091315214877496,91,140,6.049
66.5088508850885,3.783288500969933e-05,0.003567725296391311,91,140,6.049
66.51945194519452,-0.00014479725858954523,0.0036410493461949737,91,140,6.049
66.53005300530053,0.00015513890573494446,0.0037381754515249154,91,140,6.049
66.54065406540654,-8.521625055355547e-05,0.0037121109848318665,91,140,6.049
66.55125512551255,-0.0001124375011790123,0.0037255189694651416,91,140,6.049
66.56185618561857,-0.00014670054226661823,0.004154515261281512,91,140,6.049
66.57245724572458,-0.00040436311962731704,0.003618531465050571,91,140,6.049
66.58305830583058,-0.0002809006092631313,0.0035533885077657407,91,140,6.049
66.59365936593659,1.4724904039624413e-05,0.0037466904712346654,91,140,6.049
66.6042604260426,-4.111727108634375e-05,0.003667483239282722,91,140,6.049
66.61486148614861,-0.000305592974201601,0.0037179794119693832,91,140,6.049
66.62546254625462,-0.00019389253366500805,0.0036050020609566936,91,140,6.049
66.63606360636064,0.0001864446726763287,0.003745364338116361,91,140,6.049
66.64666466646665,-0.0001931724417856595,0.0038165324087240595,91,140,6.049
66.65726572657266,-5.148632616824574e-05,0.0036740285553053947,91,140,6.049
66.66786678667867,3.5317686310396e-05,0.0037804987986753582,91,140,6.049
66.67846784678468,9.115918613951911e-05,0.003549739050792985,91,140,6.049
66.68906890689068,8.200850753800917e-05,0.003826673807994006,91,140,6.049
66.6996699669967,-4.0096498314677625e-05,0.003723296813659118,91,140,6.049
66.7102710271027,-0.00032533021106936075,0.0037410321243285406,91,140,6.049
66.72087208720872,-2.530024053101849e-05,0.0037804211552206926,91,140,6.049
66.73147314731473,-0.0001413620550927289,0.003498437088631734,91,140,6.049
66.74207420742074,-0.0003027765377944524,0.0035671214777348863,91,140,6.049
66.75267526752675,-4.129358071406793e-05,0.0037204693527622683,91,140,6.049
66.76327632763277,6.493280201657419e-05,0.0035736069861580845,91,140,6.049
66.77387738773878,-3.8962121341757996e-05,0.0035102171638971007,91,140,6.049
66.78447844784479,-1.0045144327778825e-05,0.003753561139141337,91,140,6.049
66.79507950795079,-9.769511304123266e-05,0.0035279161341637832,91,140,6.049
66.8056805680568,-8.525015446945646e-05,0.003658585468122148,91,140,6.049
66.81628162816281,-0.000357586320839961,0.0035935587005024505,91,140,6.049
66.82688268826882,6.779752054965547e-05,0.003516771546268087,91,140,6.049
66.83748374837484,0.00020508772716166794,0.0035791770205002007,91,140,6.049
66.84808480848085,-5.8315674427126925e-05,0.0034238531633427834,91,140,6.049
66.85868586858686,-8.983247893697132e-05,0.003700585564658367,91,140,6.049
66.86928692869287,-2.514706957171632e-05,0.003514828656964557,91,140,6.049
66.87988798879888,-0.00014245426878623128,0.003651395475493234,91,140,6.049
66.8904890489049,0.00017258698241817442,0.003609746592498767,91,140,6.049
66.9010901090109,1.3452681833370662e-05,0.003376834159502516,91,140,6.049
66.9116911691169,6.589207491601417e-07,0.003800950933479922,91,140,6.049
66.92229222922292,6.692432635390642e-05,0.0038095391075720097,91,140,6.049
66.93289328932893,-3.999905738066863e-06,0.003551648436346615,91,140,6.049
66.94349434943494,-0.0001454565654859864,0.0037524379815209456,91,140,6.049
66.95409540954095,-0.00019125068063113854,0.0034796692408384563,91,140,6.049
66.96469646964697,6.020427486384632e-07,0.0035066728963425073,91,140,6.049
66.97529752975298,-9.153747108272986e-05,0.0033061889596705924,91,140,6.049
66.98589858985899,0.00025316835480859474,0.003578895096316283,91,140,6.049
66.996499649965,-0.000329181296448356,0.0035507974668117113,91,140,6.049
67.007100710071,6.29146204246269e-05,0.0034862072128882646,91,140,6.049
67.01770177017701,-3.9534171365023196e-05,0.0035244054894625347,91,140,6.049
67.02830283028302,2.0118504953568707e-05,0.0036705231400947433,91,140,6.049
67.03890389038904,2.907618901833338e-05,0.0034247796537974244,91,140,6.049
67.04950495049505,-0.000229295354130541,0.003546600765154646,91,140,6.049
67.06010601060106,0.00014376578633754102,0.0036817952144075137,91,140,6.049
67.07070707070707,-0.00018982895475251678,0.0034245125764394454,91,140,6.049
67.08130813081308,0.00011253178469249399,0.0034987304164779483,91,140,6.049
67.0919091909191,0.00014676429420341816,0.003455436880929289,91,140,6.049
67.10251025102511,1.3649975825595554e-05,0.003619909457214375,91,140,6.049
67.1131113111311,5.2697381562027844e-05,0.003623231228080178,91,140,6.049
67.12371237123712,-0.00011670233580529413,0.0035725000974941427,91,140,6.049
67.13431343134313,-0.00026441275181160896,0.0035371264794314987,91,140,6.049
67.14491449144914,0.0001321073993333209,0.0034386777283075417,91,140,6.049
67.15551555155515,0.000146354778889619,0.003722032991648334,91,140,6.049
67.16611661166117,-0.00013702026858607207,0.0036075247797436143,91,140,6.049
67.17671767176718,0.00016941639555130154,0.0033506299494014936,91,140,6.049
