A,Fission Yield,Z,S
148,1.6738859e-02,92,5.2975023253
149,1.0818511e-02,92,5.2975023253
150,6.5341336e-03,92,5.2975023253
151,4.9424719e-03,92,5.2975023253
152,2.6696808e-03,92,5.2975023253
153,1.2662903e-03,92,5.2975023253
154,7.4449059e-04,92,5.2975023253
155,3.2142341e-04,92,5.2975023253
156,1.4856007e-04,92,5.2975023253
157,6.1518319e-05,92,5.2975023253
158,3.2864436e-05,92,5.2975023253
159,1.0091363e-05,92,5.2975023253
160,3.1904311e-06,92,5.2975023253
161,8.5311533e-07,92,5.2975023253
162,1.5902150e-07,92,5.2975023253
163,6.1108259e-08,92,5.2975023253
164,1.8802550e-08,92,5.2975023253
165,9.5212870e-09,92,5.2975023253
166,3.6304905e-09,92,5.2975023253
167,2.4703339e-09,92,5.2975023253
168,5.7107719e-10,92,5.2975023253
169,2.3803204e-10,92,5.2975023253
170,5.0106744e-11,92,5.2975023253
171,2.3503131e-11,92,5.2975023253
172,7.6910425e-12,92,5.2975023253
66,7.2299366e-09,92,5.7975023
67,2.3199798e-08,92,5.7975023
68,4.0299667e-08,92,5.7975023
69,8.6999259e-08,92,5.7975023
70,1.8899847e-07,92,5.7975023
71,4.6499605e-07,92,5.7975023
72,1.6599856e-06,92,5.7975023
73,5.2399548e-06,92,5.7975023
74,1.1899898e-05,92,5.7975023
75,3.5299701e-05,92,5.7975023
76,1.7576856e-04,92,5.7975023
77,3.1807727e-04,92,5.7975023
78,5.7117508e-04,92,5.7975023
79,9.0856221e-04,92,5.7975023
80,1.7595443e-03,92,5.7975023
81,2.2799804e-03,92,5.7975023
82,3.4019304e-03,92,5.7975023
83,5.7679011e-03,92,5.7975023
84,1.0308131e-02,92,5.7975023
85,1.3637844e-02,92,5.7975023
86,1.9468387e-02,92,5.7975023
87,2.5438248e-02,92,5.7975023
88,3.4944008e-02,92,5.7975023
89,4.3736455e-02,92,5.7975023
90,5.4650009e-02,92,5.7975023
91,5.7334122e-02,92,5.7975023
92,5.8459519e-02,92,5.7975023
93,6.2540051e-02,92,5.7975023
94,6.3001643e-02,92,5.7975023
95,6.4319790e-02,92,5.7975023
96,6.2024366e-02,92,5.7975023
97,6.0028633e-02,92,5.7975023
98,5.9236937e-02,92,5.7975023
99,5.9431398e-02,92,5.7975023
100,6.2983244e-02,92,5.7975023
101,5.1242458e-02,92,5.7975023
102,4.3590441e-02,92,5.7975023
103,3.2439045e-02,92,5.7975023
104,2.0723613e-02,92,5.7975023
105,1.1963128e-02,92,5.7975023
106,5.3239443e-03,92,5.7975023
107,3.0232636e-03,92,5.7975023
108,1.3081487e-03,92,5.7975023
109,8.1545306e-04,92,5.7975023
110,6.4914430e-04,92,5.7975023
111,4.2576636e-04,92,5.7975023
112,3.7711674e-04,92,5.7975023
113,3.2613717e-04,92,5.7975023
114,3.2293723e-04,92,5.7975023
115,3.3877701e-04,92,5.7975023
116,3.4003706e-04,92,5.7975023
117,3.6818683e-04,92,5.7975023
118,3.3631718e-04,92,5.7975023
119,3.5019705e-04,92,5.7975023
120,3.5291702e-04,92,5.7975023
121,3.6810688e-04,92,5.7975023
122,4.0408653e-04,92,5.7975023
123,4.4062611e-04,92,5.7975023
124,6.3332444e-04,92,5.7975023
125,6.8029404e-04,92,5.7975023
126,9.7544161e-04,92,5.7975023
127,3.0627631e-03,92,5.7975023
128,5.0449671e-03,92,5.7975023
129,8.3516291e-03,92,5.7975023
130,1.7946186e-02,92,5.7975023
131,3.2195232e-02,92,5.7975023
132,4.6710315e-02,92,5.7975023
133,6.7239769e-02,92,5.7975023
134,7.6666807e-02,92,5.7975023
135,6.6013055e-02,92,5.7975023
136,6.2270757e-02,92,5.7975023
137,6.2215087e-02,92,5.7975023
